idsiad,nom_del_centre,tipus_de_via,adre_a,codi_postal,poblaci,comarca,demarcaci,cerca,tel_fon,correu_electr_nic,tipus,titularitat,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925
48,Servei d'informació i atenció a les dones (SIAD) de la Ribera d'Ebre,Plaça,"Sant Roc, 2",43740,Móra d'Ebre,Ribera d'Ebre,Terres de l'Ebre,Ribera d'Ebre,977401851,acciosocial@riberaebre.org,SIAD,Consell Comarcal de la Ribera d'Ebre,41.09136,0.6432,"{'type': 'Point', 'coordinates': [0.6432, 41.09136]}",198,36
31,Servei d'informació i atenció a les dones (SIAD) de Badalona,Carrer,"Baldomer Solà, 13-15",8912,Badalona,Barcelonès,Metropolità,Barcelonès,934832968,siad@badalona.cat,SIAD,Ajuntament de Badalona,41.44709,2.23967,"{'type': 'Point', 'coordinates': [2.23967, 41.44709]}",531,29
43,Servei d'informació i atenció a les dones (SIAD) de Granollers,Carrer,"Portalet, 4, 4a planta",8401,Granollers,Vallès Oriental,Metropolità,Vallès Oriental,938426714,plaigualtat@ajuntament.granollers.cat,SIAD,Ajuntament de Granollers,41.60757,2.28746,"{'type': 'Point', 'coordinates': [2.28746, 41.60757]}",560,22
138,Servei d'informació i atenció a les dones (SIAD) de Banyoles,Carrer,"Pere Alsius, 12, 1r",17820,Banyoles,Pla de l'Estany,Comarques Gironines,Pla de l'Estany,972581125,siad.serveisocials@ajbanyoles.org,SIAD,Ajuntament de Banyoles,42.1160,2.7638,"{'type': 'Point', 'coordinates': [2.7638, 42.116]}",57,11
58,Servei d'informació i atenció a les dones (SIAD) de l'Aran,Carrer,"Major, 36",25530,Vielha e Mijaran,Val d'Aran,Alt Pirineu i Aran,Val d'Aran,973642560,siah@aransalut.com,SIAD,Consell General d'Aran,42.70004,0.79379,"{'type': 'Point', 'coordinates': [0.79379, 42.70004]}",326,1
23,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Horta-Guinardó,Carrer,"Arenys, 75",8035,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_horta@bcn.cat,PIAD,Ajuntament de Barcelona,41.5206065,1.9967716,"{'type': 'Point', 'coordinates': [1.9967716, 41.5206065]}",908,26
113,Servei d'informació i atenció a les dones (SIAD) del Moianès,Carrer,"de les Joies, núm. 11-13",8180,Moià,Moianès,Comarques Centrals,Moianès,938208000,ccmn.atenciopersones@ccmoianes.cat,SIAD,Consell Comarcal del Moianès,41.8122205,2.0954385,"{'type': 'Point', 'coordinates': [2.0954385, 41.8122205]}",677,18
128,Servei d'informació i atenció a les dones (SIAD) d'Esparreguera,Carrer,"dels Arbres, 21, despatx 1r pis",8292,Esparreguera,Baix Llobregat,Metropolità,Baix Llobregat,677 500 229,dona@esparreguera.cat,SIAD,Ajuntament d'Esparreguera,41.5395,1.86826,"{'type': 'Point', 'coordinates': [1.86826, 41.5395]}",608,31
29,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Sarrià-Sant Gervasi,Plaça,"Consell de la Vila, 7",8006,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_sarriasantgervasi@bcn.cat,PIAD,Ajuntament de Barcelona,41.3991144,2.121355,"{'type': 'Point', 'coordinates': [2.121355, 41.3991144]}",512,29
52,Servei d'informació i atenció a les dones (SIAD) de l'Alt Camp,Carrer,"Mossèn Martí, 3",43800,Valls,Alt Camp,Camp de Tarragona,Alt Camp,977604258,benestarsocial@altcamp.cat,SIAD,Consell Comarcal de l'Alt Camp,41.2886,1.24979,"{'type': 'Point', 'coordinates': [1.24979, 41.2886]}",500,30
98,Servei d'informació i atenció a les dones (SIAD) de Viladecans,Carrer,"Santiago Rusiñol, 8",8840,Viladecans,Baix Llobregat,Metropolità,Baix Llobregat,93 566 20 00,siad@viladecans.cat,SIAD,Ajuntament de Viladecans,41.30996,2.00768,"{'type': 'Point', 'coordinates': [2.00768, 41.30996]}",511,31
63,Servei d'informació i atenció a les dones (SIAD) de Lloret de Mar,Carreró,"de Sant Miquel, nº 6, Seu d'Es Tint, 1r pis",17310,Lloret de Mar,Selva,Comarques Gironines,Selva,972347172,dones@lloret.cat,SIAD,Ajuntament de Lloret de Mar,192883,42.43243,"{'type': 'Point', 'coordinates': [42.43243, 192883]}",,
83,Servei d'informació i atenció a les dones (SIAD) de Sant Boi de Llobregat,Carrer,"Ebre, 27 (Can Jordana)",8830,Sant Boi de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,936351200 ext 156,crdones@santboi.cat,SIAD,Ajuntament de Sant Boi de Llobregat,41.348,2.0383,"{'type': 'Point', 'coordinates': [2.0383, 41.348]}",496,31
35,Servei d'informació i atenció a les dones (SIAD) de Cambrils,Plaça,"de l'Ajuntament, 4",43850,Cambrils,Baix Camp,Camp de Tarragona,Baix Camp,977794579 ext 4311/2226,siad@cambrils.org,SIAD,Ajuntament de Cambrils,41.07132,1.05809,"{'type': 'Point', 'coordinates': [1.05809, 41.07132]}",158,39
137,Servei d'informació i atenció a les dones (SIAD) del Gironès,Carrer,"Àngel Guimerà, 106-108",17190,Salt,Gironès,Comarques Gironines,Gironès,972201962,siad@cbs.cat,SIAD,Consell Comarcal del Gironès,41.9749,2.7928,"{'type': 'Point', 'coordinates': [2.7928, 41.9749]}",23,14
124,Servei d'informació i atenció a les dones (SIAD) del Tarragonès,Carrer,"de les Coques, 3",43003,Tarragona,Tarragonès,Camp de Tarragona,Tarragonès,977244506,siad@tarragones.cat,SIAD,Consell Comarcal del Tarragonès,41.11886,1.25868,"{'type': 'Point', 'coordinates': [1.25868, 41.11886]}",230,37
89,Servei d'informació i atenció a les dones (SIAD) de Sant Quirze del Vallès,Passatge,"Dalí, núm. 8",8192,Sant Quirze del Vallès,Vallès Occidental,Metropolità,Vallès Occidental,937216800,sumemxlaigualtat@santquirzevalles.cat,SIAD,Ajuntament de Sant Quirze del Vallès,41.54305,2.03938,"{'type': 'Point', 'coordinates': [2.03938, 41.54305]}",862,26
154,Servei d'Intervenció Especialitzada en violència masclista (SIE) de La Selva - Blanes,Avinguda,"de la Pau, 4",17300,Blanes,La Selva,Comarques Gironines,La Selva,934597049,bustia.sieblanes@gencat.cat,SIE,Generalitat de Catalunya,41.680801,2.7907848,"{'type': 'Point', 'coordinates': [2.7907848, 41.680801]}",760,20
67,Servei d'informació i atenció a les dones (SIAD) de Martorell,Carrer,"Francesc Santacana, 13 (Casa de Cultura de la Vila)",8760,Martorell,Baix Llobregat,Metropolità,Baix Llobregat,937735193,serveissocials@martorell.cat,SIAD,Ajuntament de Martorell,41.47431,1.92841,"{'type': 'Point', 'coordinates': [1.92841, 41.47431]}",555,31
140,Servei d'Intervenció Especialitzada en violència masclista (SIE) de l'Alt empordà,Avinguda,"de Vilallonga, 5, 2n 1a",17600,Figueres,Alt Empordà,Comarques Gironines,Alt Empordà,872022030,bustia.siealtemporda@gencat.cat,SIE,Generalitat de Catalunya,42.2664134,2.9651022,"{'type': 'Point', 'coordinates': [2.9651022, 42.2664134]}",191,6
94,Servei d'informació i atenció a les dones (SIAD) de Tarragona,Plaça,"de la Font , 1",43003,Tarragona,Tarragonès,Camp de Tarragona,Tarragonès,977296279,siad@tarragona.cat,SIAD,Ajuntament de Tarragona,41.11436,1.25578,"{'type': 'Point', 'coordinates': [1.25578, 41.11436]}",230,37
141,Servei d'Intervenció Especialitzada en violència masclista (SIE) de l'Alt Pirineu i Aran,Carrer,"del Comtat d'Urgell, 61, baixos",25700,La Seu d'Urgell,Alt Urgell,Alt Pirineu i Aran,Alt Urgell,973361331,bustia.siealtpirineuaran@gencat.cat,SIE,Generalitat de Catalunya,42.3578595,1.454447,"{'type': 'Point', 'coordinates': [1.454447, 42.3578595]}",387,5
119,Servei d'informació i atenció a les dones (SIAD) del Prat de Llobregat,Plaça,"de l'Agricultura, 4",8820,El Prat de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,933790050,siad@elprat.cat,SIAD,Ajuntament d'El Prat de Llobregat,41.32478,2.0932,"{'type': 'Point', 'coordinates': [2.0932, 41.32478]}",503,31
2,Informació i atenció a les dones d'Argentona,Carrer,"Gran, 59",8310,Argentona,Maresme,Metropolità,Maresme,937974900,igualtat@argentona.cat,IAD,Ajuntament d'Argentona,41.5573979,2.4006428,"{'type': 'Point', 'coordinates': [2.4006428, 41.5573979]}",658,25
80,Servei d'informació i atenció a les dones (SIAD) de Salou,Carrer,"de l'Ebre, 11 - Espai Mas",43840,Salou,Tarragonès,Camp de Tarragona,Tarragonès,977309206,siadones@salou.cat,SIAD,Ajuntament de Salou,41.08105,1.13316,"{'type': 'Point', 'coordinates': [1.13316, 41.08105]}",160,37
7,Informació i atenció a les dones de Montornès del Vallès,Carrer,"de la Pau, 10",8170,Montornès del Vallès,Vallès Oriental,Metropolità,Vallès Oriental,93 566 70 04 ext 3,igualtat@montornes.cat,IAD,Ajuntament de Montornès del vallès,41.544459,2.2616584,"{'type': 'Point', 'coordinates': [2.2616584, 41.544459]}",706,22
66,Servei d'informació i atenció a les dones (SIAD) de Manresa,Carrer,"de la Canal, 6, 1r",8241,Manresa,Bages,Comarques Centrals,Bages,938752310,siad@ajmanresa.cat,SIAD,Ajuntament de Manresa,41.72423,1.82557,"{'type': 'Point', 'coordinates': [1.82557, 41.72423]}",877,18
120,Servei d'informació i atenció a les dones (SIAD) del Priorat,Plaça,"de la Quartera, 1",43730,Falset,Priorat,Camp de Tarragona,Priorat,977830119,siad@priorat.cat,SIAD,Consell Comarcal del Priorat,41.14652,0.82035,"{'type': 'Point', 'coordinates': [0.82035, 41.14652]}",414,35
90,Servei d'informació i atenció a les dones (SIAD) de Sant Vicenç dels Horts,Carrer,"Claverol, 6-8, 1a planta (Edifici de la Foneria)",8620,Sant Vicenç dels Horts,Baix Llobregat,Metropolità,Baix Llobregat,936029216,igualtat@svh.cat - atencioaladona@svh.cat,SIAD,Ajuntament de Sant Vicenç dels Horts,41.38807,2.00797,"{'type': 'Point', 'coordinates': [2.00797, 41.38807]}",671,31
106,Servei d'informació i atenció a les dones (SIAD) del Baix Llobregat,Carretera,"Nacional - 340, pk 1249, Parc Torreblanca",8980,Sant Feliu de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,936852400,siad@elbaixllobregat.cat,SIAD,Consell Comarcal del Baix Llobregat,41.38607,2.04027,"{'type': 'Point', 'coordinates': [2.04027, 41.38607]}",844,31
34,Servei d'informació i atenció a les dones (SIAD) de Calafell,Plaça,"de la Constitució, 5",43820,Calafell,Baix Penedès,Penedès,Baix Penedès,977699009,siad@calafell.org,SIAD,Ajuntament de Calafell,41.19219,1.60666,"{'type': 'Point', 'coordinates': [1.60666, 41.19219]}",460,33
44,Servei d'informació i atenció a les dones (SIAD) de la Cerdanya,Carrer,"d'Alfons I, 50-52, baixos",17520,Puigcerdà,Cerdanya,Alt Pirineu i Aran,Cerdanya,972141313,siad@cerdanya.org,SIAD,Consell Comarcal de la Cerdanya,42.43382,1.9293,"{'type': 'Point', 'coordinates': [1.9293, 42.43382]}",348,4
76,Servei d'informació i atenció a les dones (SIAD) de Ripollet,Carrer,"La Salut, núm. 1",8291,Ripollet,Vallès Occidental,Metropolità,Vallès Occidental,935046007,sgarriga@ripollet.cat,SIAD,Ajuntament de Ripollet,41.49649,2.15347,"{'type': 'Point', 'coordinates': [2.15347, 41.49649]}",571,26
154,Punt Dona de Montmeló,Plaça,"de la Vila, 1",8016,Montmeló,Vallès Oriental,Metropolità,Vallès Oriental,93572000,serveissocials@montmelo.cat,IAD,Ajuntament,41.55194,2.24799,"{'type': 'Point', 'coordinates': [2.24799, 41.55194]}",736,22
136,Servei d'Intervenció Especialitzada en violència masclista (SIE) de Salt,Plaça,"del Veïnat, 11, 3r",17190,Salt,Gironès,Comarques Gironines,Gironès,972406555,bustia.siegirones@gencat.cat,SIE,Generalitat de Catalunya,41.9759853,2.7965475,"{'type': 'Point', 'coordinates': [2.7965475, 41.9759853]}",23,14
39,Servei d'informació i atenció a les dones (SIAD) de Cornellà de Llobregat,Carrer,"Mn. Jacint Verdaguer, 16-18",8940,Cornellà de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,934742841,ladona@aj-cornella.cat,SIAD,Ajuntament de Cornellà de Llobregat,41.35421,2.07088,"{'type': 'Point', 'coordinates': [2.07088, 41.35421]}",488,31
97,Servei d'informació i atenció a les dones (SIAD) de Valls,Carrer,"Muralla del Carme, 24",43800,Valls,Alt Camp,Camp de Tarragona,Alt Camp,977614040,siad@valls.cat,SIAD,Ajuntament de Valls,41.2828,1.24858,"{'type': 'Point', 'coordinates': [1.24858, 41.2828]}",500,30
71,Servei d'informació i atenció a les dones (SIAD) de Montcada i Reixac,Carrer,"Major, 32 MIR (Casa de la Vila)",8110,Montcada i Reixac,Vallès Occidental,Metropolità,Vallès Occidental,935651122,oficinadona@montcada.org,SIAD,Ajuntament de Montcada i Reixac,41.48558,2.18792,"{'type': 'Point', 'coordinates': [2.18792, 41.48558]}",936,26
101,Servei d'informació i atenció a les dones (SIAD) de Vilassar de Mar,Carrer,"Santa Eulàlia, 40",8340,Vilassar de Mar,Maresme,Metropolità,Maresme,937540500,siad@vilassardemar.cat,SIAD,Ajuntament de Vilassar de Mar,41.50422,2.38684,"{'type': 'Point', 'coordinates': [2.38684, 41.50422]}",522,25
10,Informació i atenció a les dones de Santa Cristina d'Aro,Plaça,Catalunya s/n,17246,Santa Cristina d'Aro,Baix Empordà,Comarques Gironines,Baix Empordà,972837010 / 637889203,igualtat@santacristina.cat,IAD,Ajuntament de Santa Cristina d'Aro,41.81052,2.99943966868466,"{'type': 'Point', 'coordinates': [2.99943966868466, 41.81052]}",642,16
59,Servei d'informació i atenció a les dones (SIAD) de les Franqueses del Vallès,Carrer,"Rosellò, núm. 39",8521,Les franqueses del Vallès,Vallès Oriental,Metropolità,Vallès Oriental,938465862,marta.fuertes@lesfranqueses.cat,SIAD,Ajuntament de les Franqueses del Vallès,41.618,2.29483,"{'type': 'Point', 'coordinates': [2.29483, 41.618]}",824,22
148,Servei d'Intervenció Especialitzada en violència masclista (SIE) del Barcelonès-Nord,Carrer,"Miquel Servet, 217",8912,Badalona,Barcelonès,Metropolità,Barcelonès,935170001,bustia.siebarcelonesnord@gencat.cat,SIE,Generalitat de Catalunya,41.448173,2.2348737,"{'type': 'Point', 'coordinates': [2.2348737, 41.448173]}",531,29
112,Servei d'informació i atenció a les dones (SIAD) del Masnou,Plaça,"de la Igualtat, 1",8320,El Masnou,Maresme,Metropolità,Maresme,935571800,siad@elmasnou.cat,SIAD,Ajuntament d'El Masnou,41.47913,2.3182,"{'type': 'Point', 'coordinates': [2.3182, 41.47913]}",96,25
127,Servei d'informació i atenció a les dones (SIAD) del Vendrell,Carrer,"Quarter, 4",43700,El Vendrell,Baix Penedès,Penedès,Baix Penedès,977608560,pcandalija@elvendrell.net,SIAD,Ajuntament del Vendrell,41.21687,1.53399,"{'type': 'Point', 'coordinates': [1.53399, 41.21687]}",456,33
82,Servei d'informació i atenció a les dones (SIAD) de Sant Andreu de la Barca,Plaça,"de l'Ajuntament, 1, 2a planta",8740,Sant Andreu de la Barca,Baix Llobregat,Metropolità,Baix Llobregat,936356402,siad@sabarca.cat,SIAD,Ajuntament de Sant Andreu de la Barca,41.45004,1.9712,"{'type': 'Point', 'coordinates': [1.9712, 41.45004]}",663,31
139,Servei d'informació i atenció a les dones (SIAD) de Vila-Seca,Carrer,"Major, 12",43480,Vila-seca,Tarragonès,Camp de Tarragona,Tarragonès,977390024,siad@vila-seca.cat,SIAD,Ajuntament de Vila-seca,41.1167,1.1500,"{'type': 'Point', 'coordinates': [1.15, 41.1167]}",231,37
22,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Gràcia,Plaça,"Vila de Gràcia, 2",8012,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_gracia@bcn.cat,PIAD,Ajuntament de Barcelona,41.3999304,2.1557204,"{'type': 'Point', 'coordinates': [2.1557204, 41.3999304]}",512,29
132,Servei d'informació i atenció a les dones SIAD VicDones - SIAD Osona,Carrer,"Llotja, 1, 2n (Edifici del Sucre)",8500,Vic,Osona,Comarques Centrals,Osona,937027284/ 650540732,vicdones-siadosona@vic.cat,SIAD,Ajuntament de Vic/Consell Comarcal d'Osona,41.92758,2.24683,"{'type': 'Point', 'coordinates': [2.24683, 41.92758]}",912,13
47,Servei d'informació i atenció a les dones (SIAD) de la Noguera,Passeig,"d'Àngel Guimerà, 28-30",25600,Balaguer,Noguera,Ponent,Noguera,973448933,siad@ccnoguera.cat,SIAD,Consell Comarcal de la Noguera,41.78568,0.80434,"{'type': 'Point', 'coordinates': [0.80434, 41.78568]}",685,15
142,Servei d'Intervenció Especialitzada en violència masclista (SIE) de les Terres de l'Ebre,Carrer,"Miquel Granell, 2, 1r",43870,Amposta,Montsià,Terres de l'Ebre,Montsià,977701274 - 977700168,bustia.sieterresdelebre@gencat.cat,SIE,Generalitat de Catalunya,40.7100734,0.5775403,"{'type': 'Point', 'coordinates': [0.5775403, 40.7100734]}",227,41
79,Servei d'informació i atenció a les dones (SIAD) de Sabadell,Carrer,"Vidal, 146",8208,Sabadell,Vallès Occidental,Metropolità,Vallès Occidental,937246167,genere@ajsabadell.cat,SIAD,Ajuntament de Sabadell,41.55398,2.11259,"{'type': 'Point', 'coordinates': [2.11259, 41.55398]}",660,26
131,Servei d'informació i atenció a les dones (SIAD) d'Olesa de Montserrat,Carrer,"Salvador Casas, núm. 17",8640,Olesa de Montserrat,Baix Llobregat,Metropolità,Baix Llobregat,937780050,cird@olesademontserrat.cat,SIAD,Ajuntament d'Olesa de Montserrat,41.54517,1.89134,"{'type': 'Point', 'coordinates': [1.89134, 41.54517]}",699,31
109,Servei d'informació i atenció a les dones (SIAD) del Garraf,Plaça,"de Beatriu de Claramunt, 5-8",8800,Vilanova i la Geltrú,Garraf,Penedès,Garraf,938100410,siad@ccgarraf.cat,SIAD,Consell Comarcal del Garraf,41.22305,1.71411,"{'type': 'Point', 'coordinates': [1.71411, 41.22305]}",412,34
3,Informació i atenció a les dones de Corbera de Llobregat,Plaça,"Sant Antoni, s/n (Àrea d'Igualtat de l'Ajuntament )",8757,Corbera de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,935175878,igualtatgenere@corberadellobregat.cat,IAD,Ajuntament de Corbera de Llobregat,41.4139706,1.9263777,"{'type': 'Point', 'coordinates': [1.9263777, 41.4139706]}",710,31
38,Servei d'informació i atenció a les dones (SIAD) de Cerdanyola del Vallès,Carrer,"Belles Arts, 19",8290,Cerdanyola del Vallès,Vallès Occidental,Metropolità,Vallès Occidental,935921647,dones@cerdanyola.cat,SIAD,Ajuntament de Cerdanyola del Vallès,41.48765,2.13778,"{'type': 'Point', 'coordinates': [2.13778, 41.48765]}",570,26
40,Servei d'informació i atenció a les dones (SIAD) de Figueres,Carrer,"Poeta Marquina, 2",17600,Figueres,Alt Empordà,Comarques Gironines,Alt Empordà,972513808,siad@figueres.org,SIAD,Ajuntament de Figueres,42.26605,2.95641,"{'type': 'Point', 'coordinates': [2.95641, 42.26605]}",191,6
155,Servei d'Intervenció Especialitzada en violència masclista (SIE) de l'Urgell - Tàrrega,Carrer,"Perer Calver, 16 Baixos",25300,Tàrrega,Urgell,Ponent,Urgell,932172664,bustia.sietarrega@gencat.cat,SIE,Generalitat de Catalunya,41.6440871,1.1428288,"{'type': 'Point', 'coordinates': [1.1428288, 41.6440871]}",880,17
51,Servei d'informació i atenció a les dones (SIAD) de la Terra Alta,Carrer,"Bassa d'en Gaire, 1",43780,Gandesa,Terra Alta,Terres de l'Ebre,Terra Alta,977420018,siad@terra-alta.org,SIAD,Consell Comarcal de la Terra Alta,42.43243,1.92884,"{'type': 'Point', 'coordinates': [1.92884, 42.43243]}",348,4
70,Servei d'informació i atenció a les dones (SIAD) de Mollet del Vallès,Carrer,"Àngel Guimerà, 15",8100,Mollet del Vallès,Vallès Oriental,Metropolità,Vallès Oriental,935707747,siad@molletvalles.cat,SIAD,Ajuntament de Mollet del Vallès,41.53504,2.21542,"{'type': 'Point', 'coordinates': [2.21542, 41.53504]}",703,22
26,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Sant Andreu,Carrer,"Foradada, 36",8033,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_santandreu@bcn.cat,PIAD,Ajuntament de Barcelona,41.45165,2.191212,"{'type': 'Point', 'coordinates': [2.191212, 41.45165]}",512,29
156,Servei d'Intervenció Especialitzada en violència masclista (SIE) de Vic,Carrer,"Molí d'en Saborit, 2",8500,Vic,Osona,Comarques Centrals,Osona,938045482,bustia.sievic@gencat.cat,SIE,Generalitat de Catalunya,42,2.2595237,"{'type': 'Point', 'coordinates': [2.2595237, 42]}",31,13
30,"Servei d'Atenció, Recuperació i Acollida (SARA) de Barcelona",Carrer,"Marie Curie, 16",8042,Barcelona,Barcelonès,Metropolità,Barcelonès,900 922 357,sara@bcn.cat,SIE,Ajuntament de Barcelona,41.4375167,2.1666009,"{'type': 'Point', 'coordinates': [2.1666009, 41.4375167]}",512,29
50,Servei d'informació i atenció a les dones (SIAD) de la Selva,Carrer,"del Prat, 1, 1r",17430,Santa Coloma de Farners,Selva,Comarques Gironines,Selva,872973003,siad@selva.cat,SIAD,Consell Comarcal de la Selva,41.8645,2.66243,"{'type': 'Point', 'coordinates': [2.66243, 41.8645]}",634,20
65,Servei d'informació i atenció a les dones (SIAD) de Manlleu,Carrer,"Enric Delaris, 7",8560,Manlleu,Osona,Comarques Centrals,Osona,938510848,siad@manlleu.cat,SIAD,Ajuntament de Manlleu,42.00014,2.28332,"{'type': 'Point', 'coordinates': [2.28332, 42.00014]}",31,13
121,Servei d'informació i atenció a les dones (SIAD) del Ripollès,Carrer,"Progrés, 22",17500,Ripoll,Ripollès,Comarques Gironines,Ripollès,972715839,dones@ripolles.cat,SIAD,Consell Comarcal del Ripollès,42.19772,2.19435,"{'type': 'Point', 'coordinates': [2.19435, 42.19772]}",362,7
33,Servei d'informació i atenció a les dones (SIAD) de Blanes,Plaça,"d'Argentina, 5",17300,Blanes,Selva,Comarques Gironines,Selva,972336207,adones@blanes.cat,SIAD,Ajuntament de Blanes,41.66767,2.78433,"{'type': 'Point', 'coordinates': [2.78433, 41.66767]}",760,20
77,Servei d'informació i atenció a les dones (SIAD) de Roses,Carrer,"Tarragona, 83 (Casa del Mar)",17480,Roses,Alt Empordà,Comarques Gironines,Alt Empordà,972252400,acciosocial@roses.cat,SIAD,Ajuntament de Roses,42.26318,3.17819,"{'type': 'Point', 'coordinates': [3.17819, 42.26318]}",363,6
21,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Eixample,Jardins,de Rosa Deulofeu (interior illa),8008,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_eixample@bcn.cat,PIAD,Ajuntament de Barcelona,41.3954498,2.150181,"{'type': 'Point', 'coordinates': [2.150181, 41.3954498]}",512,29
60,Servei d'informació i atenció a les dones (SIAD) de les Garrigues,Avinguda,"de Francesc Macià, 54",25400,Les Borges Blanques,Garrigues,Ponent,Garrigues,973142658,siad@garrigues.cat,SIAD,Consell Comarcal de les Garrigues,41.51327,0.8765,"{'type': 'Point', 'coordinates': [0.8765, 41.51327]}",807,27
150,Servei d'Intervenció Especialitzada en violència masclista (SIE) del Vallès Occidental - Sabadell,Carrer,"Les Valls, 28, 1r-7a",8201,Sabadell,Vallès Occidental,Metropolità,Vallès Occidental,938528784,bustia.sievoccsabadell@gencat.cat,SIE,Generalitat de Catalunya,41.548582,2.1047991,"{'type': 'Point', 'coordinates': [2.1047991, 41.548582]}",660,26
